epoch,loss,mae,mse
0,2747.347900390625,41.892494201660156,2747.347900390625
1,2683.18408203125,41.43240737915039,2683.18408203125
2,2771.436767578125,42.04220199584961,2771.436767578125
3,2626.170166015625,41.0738639831543,2626.170166015625
4,2633.08984375,40.744808197021484,2633.08984375
5,2637.919677734375,40.95988082885742,2637.919677734375
6,2700.0830078125,40.76770782470703,2700.0830078125
7,2862.056884765625,42.76696014404297,2862.056884765625
8,2675.962890625,41.16788864135742,2675.962890625
9,2615.85302734375,40.42990493774414,2615.85302734375
